ign,FMC,Prec30,Prec7,Prec,Rh,Temp30_media,Temp30_moda,Temp7_media,Temp7_moda,Temp_max,wind_max,lm14,lm7,ls14,ls7,aspect,elev,rough,slope,road,pop_density,livestock,ecorregion,cci,real
0,151,29.3799991607666,4.09999990463257,1.75999999046326,54.7207565307617,288.848602294922,279.491821289062,290.327484130859,286.081420898438,290.998565673828,3.303959608078,0.000454667082522,0.0006002121372148,0.0063653392717242,0.0042014848440885,-0.231540143489838,484.5,35.0,8.08892250061035,0.0,4.09819173812866,285.880737304688,4,1.0,8.0
1,132,55.0800018310547,15.8699998855591,2.76999998092651,55.5008087158203,301.5849609375,299.920623779297,301.405670166016,300.470794677734,301.324676513672,2.92538833618164,0.0,0.0,0.0,0.0,-0.640184819698334,472.0,13.0,2.86036157608032,0.0,61.4967269897461,1272.41548898752,7,11.0,1.0
0,202,51.6100006103516,9.96000003814697,0.0099999997764825,29.9841041564941,308.14453125,304.286834716797,308.312591552734,305.678192138672,309.574035644531,4.32597827911377,0.0005581363220699,0.0007290326175279,0.0078139090910553,0.0051032281480729,-0.316228747367859,235.0,3.0,0.394367814064026,0.0,0.001392568112351,244.40803527832,7,1.0,3.0
0,87,213.809997558594,49.75,7.28999996185303,78.2630386352539,301.496398925781,299.937408447266,301.070465087891,300.394592285156,300.632202148438,1.43595385551453,0.0,0.0,0.0,0.0,0.327473044395447,57.0,13.0,2.69394469261169,0.0,0.049871202558279,28.0376091003418,1,1.0,6.0
0,0,5.09999990463257,0.850000023841858,0.100000001490116,46.6404762268066,302.769836425781,300.990692138672,302.319091796875,300.990692138672,303.850524902344,4.10304737091064,0.0,0.0,0.0,0.0,-0.534597635269165,438.0,2.0,0.309369444847107,0.0,3.13153052330017,282.344024658203,7,1.0,1.0
1,144,48.1399993896484,7.9399995803833,0.8299999833107,42.6318702697754,293.521148681641,282.125396728516,292.258148193359,282.125396728516,299.353057861328,4.22778749465942,0.0003025059704668,0.0,0.0042350837029516,0.0,0.70710688829422,323.0,5.0,1.10449063777924,0.0,7.88082456588745,26.516348535641,8,10.0,8.0
1,109,0.0,0.0,0.0,18.1682109832764,303.552917480469,302.336944580078,303.242919921875,302.603210449219,304.918762207031,2.34381580352783,0.0,0.0,0.0,0.0,-0.715832948684692,1108.0,6.0,1.13389706611633,405.0,19.614953994751,17.6667194927249,7,60.0,1.0
1,166,140.309997558594,25.2299995422363,0.670000016689301,66.5358123779297,301.903747558594,299.402069091797,302.526916503906,302.040740966797,302.785980224609,1.01456308364868,0.0020320364274084,0.0030781535897404,0.028448510915041,0.0215470753610134,0.547248661518097,423.0,20.0,4.4133129119873,0.0,1.32436287403107,214.743906155969,7,100.0,1.0
0,0,0.0,0.0,0.0,6.00281190872192,306.543670654297,300.347930908203,308.730316162109,306.718536376953,308.817047119141,3.13469290733337,0.0,0.0,0.0,0.0,-0.279381990432739,337.0,5.0,0.773384153842926,0.0,2.76644730567932,702.8408203125,7,1.0,1.0
1,0,0.949999988079071,0.759999990463257,0.109999999403954,35.9944152832031,303.815338134766,302.072479248047,303.010101318359,302.072479248047,302.072479248047,1.26960384845734,0.0,0.0,0.0,0.0,-0.418345034122467,1256.5,7.0,1.46919560432434,0.0,13.7922716140747,14.1903494479687,7,60.0,1.0
0,113,0.400000005960464,0.0,0.0,17.8535575866699,303.893646240234,302.755462646484,304.116607666016,303.7431640625,304.278350830078,1.69514882564545,0.0,0.0,0.0,0.0,-0.23198476433754,1554.5,35.0,6.92100238800049,0.0,103.352470397949,7114.873046875,7,1.0,1.0
0,0,0.0,0.0,0.0,9.82758617401123,311.066467285156,308.629638671875,309.71728515625,308.629638671875,308.629638671875,5.69793176651001,0.0,0.0,0.0,0.0,-0.206524103879929,281.0,13.0,1.95428323745728,0.0,1.99443030357361,212.794586181641,7,,1.0
0,128,148.589996337891,26.8900012969971,17.6200008392334,63.3592681884766,302.279205322266,298.301239013672,301.932220458984,300.860687255859,300.860687255859,2.67508673667908,0.0027090127114206,0.0037705264985561,0.0379261784255505,0.026393685489893,0.607237160205841,556.0,12.0,2.73241877555847,133.0,8.79973030090332,837.706115722656,2,1.0,6.0
1,123,1.18999993801117,0.0,0.0,19.8836994171143,306.065582275391,304.642913818359,306.448364257813,306.115631103516,306.115631103516,3.25993418693543,0.0,0.0,0.0,0.0,-0.432494789361954,715.0,11.0,2.40989255905151,0.0,10.0746545791626,779.389386956282,7,62.0,1.0
1,15,0.0,0.0,0.0,12.8781147003174,308.119598388672,305.840545654297,309.344573974609,308.328094482422,310.989135742188,2.1661913394928,0.0,0.0,0.0,0.0,0.817962050437927,177.0,5.0,1.12065255641937,7.0,41.0617942810059,924.787888503817,7,10.0,1.0
1,21,24.3999996185303,18.7999992370605,0.0,49.0185737609863,286.969207763672,274.271820068359,280.03466796875,274.271820068359,281.148071289063,3.4623122215271,0.0,0.0,0.0,0.0,-0.509183049201965,171.0,8.0,1.77999937534332,207.0,23.7561130523682,308.709135335571,8,10.0,8.0
1,152,10.6800003051758,0.0399999991059303,0.0,18.3679046630859,307.017944335938,305.187225341797,307.903747558594,306.521667480469,308.092803955078,1.8439439535141,0.0,0.0,0.0,0.0,-0.389477133750916,537.0,12.5,2.82256317138672,0.0,0.93172150850296,18.7723830614618,7,62.0,1.0
1,36,0.0,0.0,0.0,14.9284057617188,308.135833740234,306.844909667969,308.294769287109,307.168853759766,308.475219726563,2.36433124542236,0.0,0.0,0.0,0.0,0.857492983341217,132.0,7.0,1.54066824913025,248.0,57.1086387634277,425.635192464088,7,30.0,1.0
